Region,Site,Station,Date 1,Date 2,Thickness at Date 1 (cm),Thickness at Date 2 (cm),Thickness at Date 3 (cm),Lat,Lon,water_lat,water_lon,Notes,
TTI,CCB,CC1 S1,12/20/2017,1/28/2018,0,0,0,26.02238,-81.73427,26.021769,-81.734467,,
TTI,CCB,CC1 S2,12/20/2017,,0,,0,26.0224,-81.73423,26.021769,-81.734467,,
TTI,CCB,CC1 S3,12/20/2017,,0,,0,26.0223,-81.73427,26.021769,-81.734467,,
TTI,CCB,CC1 S4,12/20/2017,,40,,,26.02232,-81.73418,26.021769,-81.734467,,
TTI,CCB,CC2 S1,12/20/2017,1/28/2018,0,0,0,26.02202,-81.73415,26.021769,-81.734467,,
TTI,CCB,CC2 S2,12/20/2017,,0,,0,26.02203,-81.73413,26.021769,-81.734467,,
TTI,CCB,CC2 S3,12/20/2017,,0,,0,26.02207,-81.7341,26.021769,-81.734467,,
TTI,CCB,CC2 S4,12/20/2017,,0,,,26.02208,-81.73412,26.021769,-81.734467,,
TTI,CCB,CC3 S1,12/20/2017,1/28/2018,0,0,0,26.02143,-81.7341,26.021769,-81.734467,,
TTI,CCB,CC3 S2,12/20/2017,,0,,0,26.02143,-81.73402,26.021769,-81.734467,,
TTI,CCB,CC3 S3,12/20/2017,,0,,0,26.02135,-81.73408,26.021769,-81.734467,,
TTI,CCB,CC3 S4,12/20/2017,,0,,,26.02135,-81.73403,26.021769,-81.734467,,
TTI,BW2,BW2 S1,12/19/2017,1/28/2018,9,4,6,25.92489,-81.60935,25.924941,-81.609406,,
TTI,BW2,BW2 S2,12/19/2017,1/28/2018,11,6.5,2,25.92488,-81.60933,25.924941,-81.609406,,
TTI,BW2,BW2 S3,12/19/2017,1/28/2018,2,6.5,2.5,25.9249,-81.60927,25.924941,-81.609406,,
TTI,BW2,BW2 S4,12/19/2017,1/28/2018,2,3,3.5,25.92485,-81.60921,25.924941,-81.609406,,
TTI,BW2,BW2 S5,12/19/2017,1/28/2018,5,3,3,25.92484,-81.60919,25.924941,-81.609406,,
TTI,BW2,BW2 S6,12/19/2017,1/28/2018,2,4,2,25.92481,-81.60925,25.924941,-81.609406,,
TTI,BW2,BW2 S7,12/19/2017,1/28/2018,2,1,2,25.92482,-81.60931,25.924941,-81.609406,,
TTI,BW2,BW2 S8,12/19/2017,1/28/2018,3,4,1.5,25.92486,-81.60934,25.924941,-81.609406,,
TTI,BW2,BW2 S9,12/19/2017,1/28/2018,9,5.5,6,25.92488,-81.60933,25.924941,-81.609406,,
TTI,BW2,BW2 S10,12/19/2017,1/28/2018,6,5.5,4.5,25.92484,-81.60934,25.924941,-81.609406,,
